batch_id,executed_on,channel,language_scope,region_scope,query_count,result_cards_reviewed,new_candidate_refs,repeat_candidate_refs,queries,limitations
LEGACY-000,2026-08-11,legacy-import,unknown,unknown,0,63,,,"No reproducible query trail exists; import the 63 dossier-backed records as seeds",Original discovery channels queries and review denominator are unknown
WEB-EN-001,2026-08-11,web-search,en,global,4,32,cand-figma-design-agent|cand-m2-canvas|cand-wonder|cand-inspector-visual-editor|cand-banani|cand-dart-design-agent|cand-budgetpixel-design-agent|cand-uxcanvas|cand-anima-buddy|cand-lovart|cand-dotgui|cand-maxprototyper|cand-morfis,seed-figma-make,"AI design agent canvas UI product|design agent MCP canvas UI|AI-native design visual editor agent|visual editor coding agent AI design",General ranking mixed products research and unrelated uses of AI-native
WEB-EN-002,2026-08-11,web-search,en,global,4,47,cand-figspecs|cand-plexui-bridge|cand-program-ui|cand-dmaya|cand-ai2-design|cand-dstoai|cand-youware|cand-jeda|cand-niki|cand-gendesigns|cand-mimic-ai|cand-wix-harmony|cand-adalo-ai|cand-microsoft-designer|cand-squarespace-blueprint|cand-one-aida|cand-brilliant-design|cand-ai2apps,cand-figma-design-agent|seed-open-design|seed-figma-make|seed-magicpath|seed-openai-codex|seed-lovable|seed-google-stitch|seed-canva-magic-design,"AI UI UX design agent editable canvas generate screens product|AI wireframe prototype design agent editable canvas|AI design system agent Figma components product|AI website app builder visual editor design agent",Results included secondary reviews and traditional builders alongside first-party pages
WEB-ZH-001,2026-08-11,web-search,zh-Hans,China-and-global,4,40,cand-pixso|cand-orbis|cand-tapcanvas|cand-uxbot|cand-autocraft|cand-hyperplane|cand-backdraft|cand-vberai-studio|cand-figcraft|cand-mowgli|cand-uitiful|cand-websim|cand-designcoder,cand-dmaya|seed-google-antigravity|seed-anthropic-claude-design,"AI 原生 UI 设计 智能体 可编辑 画布 产品|AI 设计 智能体 设计稿 转代码 工具|大模型 设计工具 生成 UI 画布 智能体|AI 网站 应用 生成 可视化 编辑器 中国 产品",Chinese queries still returned many globally marketed English products
WEB-ZH-002,2026-08-11,web-search,zh-Hans,China,4,36,cand-mastergo-ai|cand-modao-ai|cand-jsdesign-ai|cand-boardmix-ai,cand-pixso|seed-tencent-codebuddy,"site:js.design AI 设计 智能体 即时设计 官方|site:mastergo.com AI 设计 智能体 官方|site:pixso.cn AI 设计 生成 UI 官方|国产 AI UI 设计工具 智能体 即时设计 MasterGo Pixso 墨刀",Some named products lacked accessible first-party indexed pages
WEB-JA-001,2026-08-11,web-search,ja,Japan-and-global,4,34,cand-serendie-mcp|cand-designmd-maker-jp|cand-aidesigner|cand-hozo|cand-layermate|cand-protopie|cand-mushu,cand-figma-design-agent|seed-figma-make|cand-uitiful|seed-clearly|seed-relume|seed-uizard|seed-galileo-ai,"AI UI デザイン エージェント 編集可能 キャンバス ツール|AI プロトタイプ デザイン コード 生成 ツール 日本|AI デザインツール Figma 代替 エージェント 日本|デザインシステム AI エージェント UI 生成",Localization pages dominated and cannot establish team origin
WEB-KO-001,2026-08-11,web-search,ko,Korea-and-global,4,33,cand-dreamina|cand-prototypeagent,seed-canva-magic-design,"AI UI 디자인 에이전트 편집 가능한 캔버스 도구|AI 프로토타입 디자인 코드 생성 한국 서비스|AI 디자인 시스템 에이전트 UI 생성 도구|한국 AI UI UX 디자인 툴 에이전트",Mostly education commentary and international products; this is a search-coverage gap
WEB-ES-001,2026-08-11,web-search,es,Spanish-speaking-regions-and-global,4,46,cand-flato|cand-komposo|cand-pixello|cand-disenia|cand-codia|cand-quby-weave|cand-botpress-studio|cand-artiso|cand-inescop-footwear-prototype,seed-clearly|cand-uitiful|cand-dmaya|cand-banani|seed-pen-dev|seed-figma-make,"agente IA diseño UI lienzo editable herramienta|herramienta IA diseño UX prototipo generar código|agente de diseño IA sistema de diseño interfaz|plataforma latinoamericana IA diseño UI producto",Search mixed localized global products with adjacent fashion and physical-design systems
WEB-PT-001,2026-08-11,web-search,pt-BR,Brazil-and-global,4,43,cand-faisca|cand-gloria|cand-efecto|cand-synthesisui|cand-gameuiagent|cand-adobe-firefly-agent,seed-clearly|cand-codia|cand-uitiful|cand-tapcanvas|cand-uxcanvas|cand-m2-canvas|cand-artiso|seed-figma-make,"agente IA design UI canvas editável ferramenta Brasil|ferramenta IA design UX protótipo gerar código Brasil|plataforma brasileira IA design interface produto|agente de design IA sistema de design UI",Localized pages and discussion threads outweighed verifiable Brazil-based product pages
WEB-FRDE-001,2026-08-11,web-search,fr|de,France-Germany-and-global,4,40,cand-miro-ai-design|cand-hostinger-horizons|cand-ux-pilot|cand-ai-ui-designer|cand-protoia|cand-macaron-a2ui,cand-botpress-studio|cand-codia|cand-banani|cand-m2-canvas|seed-figma-make|seed-clearly|seed-uizard|seed-galileo-ai,"agent IA design UI canevas modifiable outil France|outil IA conception UX prototype code France|KI Design Agent UI bearbeitbare Leinwand Werkzeug Deutschland|KI UX Prototyp Design Code Generator Deutschland",Two languages share a baseline batch so language-specific yield cannot yet be separated
